Slots,Pair,Events,Fraction (%),μ (ps),μ err (ps),CFD50 fit (ps),CFD50 fit err,CFD50 std (ps),CFD50 std err,Best fit CFD,Best fit (ps),Best fit err,Best std CFD,Best std (ps),Best std err
1-2,ch2-ch17,70,0.12546601663320905,13.777011639990418,22.132988947318093,87.22706223155356,16.320266141767906,72.52351705135095,6.4609084116669795,60/30,51.65268699589756,11.91724645115347,65/40,48.18606157905262,6.955058905963479
1-2,ch3-ch12,25,0.044809291654717524,4.509102766955605,96.68572260964746,152.8083651717352,102.93674820480653,64.43530533863076,9.300435220643552,15/35,79.35502406554983,30.832778251892623,30/30,46.05123254274234,6.646922876266587
1-2,ch3-ch13,57,0.10216518497275595,41.995161018157496,20.995424753312538,67.96888761271907,18.676945987187118,50.45556382898221,4.855088893129537,50/45,48.570679506949524,8.276215522737093,70/45,25.19816818613777,3.984180216609452
1-2,ch3-ch14,24,0.04301691998852882,-35355.03473406055,2352.900579423248,4213.484406180781,2206.2630282614055,2537.3053247302823,401.18319727104233,20/50,3092.1037082023595,1080.5446195074899,25/50,2533.8756194738817,400.6409132553785
1-2,ch3-ch15,75,0.13442787496415257,19.432764130791135,17.025925368162234,84.77448210465049,10.607458715888852,76.19529537634149,6.2213198157561,70/25,58.31812988444787,13.849617366784766,70/70,42.614109358881976,6.283107643672268
1-2,ch3-ch17,69,0.12367364496702037,8.002464314234768,17.259546679504695,77.49430153530157,11.922930219819037,71.99191283783885,6.128358596502493,40/10,47.565399159568656,6.654924315447511,70/55,37.330056379850774,5.504016536017796
1-2,ch5-ch14,33,0.05914826498422713,-31156.434995240903,1121.0126027098556,3101.513237098592,928.6074263323488,2410.3486667189204,301.29358333986505,30/40,2618.234805542043,772.0750371662282,20/35,2223.0612262781715,302.5203150748541
1-2,ch5-ch15,697,1.2492830513335245,5.849166218387606,4.297104929093113,76.44230921272256,2.4219681422927164,77.88109727688152,2.0995336748732223,70/70,51.303494004980834,4.088576715350105,85/65,56.95803863843033,6.2899631290719356
1-2,ch6-ch18,880,1.5772870662460567,-5.473759011492442,3.5630386479158105,71.39445335947275,2.0178919096516346,71.00006016801484,1.7149572872238463,40/85,59.90394664314116,5.145503331133476,85/65,65.42748437517284,4.137997444012495
1-2,ch6-ch19,50,0.08961858330943505,-12.261729576055737,22.74007134004983,76.9506946665143,18.43017610737251,71.6637556785375,7.3915520193542825,60/55,48.58987883522246,8.898644798092139,20/65,44.27183048646352,5.916072198774286
1-2,ch7-ch11,278,0.49827932320045887,9.7083416538326,7.3538271292618544,80.39636701105354,4.430688438118936,86.7791533497526,3.7553012357164572,70/60,54.52062656542882,4.953138511374299,85/60,37.14684178091139,5.7318821273064255
1-2,ch7-ch12,47,0.08424146831086894,-1.999211549945745,12.228361576825707,47.99926575061252,8.12986543628321,53.77613918065373,5.6685027860362265,50/50,47.99926575061252,8.12986543628321,40/40,40.147490567369495,4.43354865143012
1-2,ch7-ch13,23,0.04122454832234012,42.5600459769116,80.75493031145233,126.62984283490763,77.92362971108174,,,10/50,29.022221459976322,5.786172224567051,50/50,inf,
1-2,ch7-ch17,923,1.654359047892171,1.5505278551447896,3.2711933808867997,67.77067345258297,1.882163069931437,66.60011598569828,1.564573207239089,85/25,52.82974704344387,4.49021200337274,30/25,59.00388536924813,1.3993125599451846
1-2,ch7-ch18,243,0.4355463148838543,-23.42924956737818,6.109365219235939,62.0789256224438,3.545274602744255,69.19485043760164,3.1782247410138464,40/70,52.31677426325012,4.864268902425293,75/75,37.942021070077516,5.476459019601926
1-2,ch8-ch11,455,0.8155291081158589,22.28569877030644,5.135105831385077,72.5341382590778,3.008296014905749,72.07038318471344,2.463314985017252,75/35,40.64848598295408,3.992901624877032,85/70,40.49274639487883,6.104511205583153
1-2,ch8-ch17,201,0.36026670490392887,-12.054889482980952,8.137980404433728,68.74367457345937,4.914022892342213,71.25525893400619,3.59893405624565,70/25,39.74140620189544,4.798054596809252,80/60,44.12830768373552,6.369372580021834
1-2,ch8-ch18,8320,14.912532262689991,7.657497750453542,1.2173193881660997,77.42276333585795,0.6524318889445866,75.92662354770108,0.5905870708844553,80/85,68.09610189608743,4.608749316678027,85/85,70.09032906676417,4.432901636033575
1-2,ch8-ch19,37,0.06631775164898193,-34.299537891278725,41.17305584014952,89.14425988975033,36.874140375519275,45.285694738180716,5.574283685357588,45/55,44.625063423327646,10.703962960205487,30/30,40.928719806875726,5.283875006453978
1-2,ch9-ch18,909,1.629265844565529,1.6839180520824313,3.2400485161733994,66.52560946688835,1.8512477188409846,68.31949423019996,1.6257332681111067,85/35,53.476776553121006,4.443562439332318,70/85,55.16955362456397,4.994816696232631
1-2,ch9-ch19,322,0.5771436765127617,-17.208361540394144,5.161661952961393,61.89754955444866,3.052176848216006,63.16783972671582,2.5166669743740138,20/65,39.740535240710194,3.304096475358317,85/65,45.329269340192624,6.683436142590204
1-3,ch0-ch31,38,0.06811012331517063,-37.9502829123252,35.903381457955355,102.28799802828343,32.81993436466084,68.50576292165532,7.963633179986317,60/50,78.64575463654116,25.003862451748496,65/15,49.408465858123655,7.448606487203695
1-3,ch1-ch31,318,0.5699741898480069,-24.268950460196745,6.283940977595716,74.97992071542502,3.475622706408823,73.78739642915328,2.9586050505815065,30/70,52.24203877001865,3.7920757884221485,60/80,59.21061175397786,4.771327066534646
1-3,ch1-ch32,70,0.12546601663320905,16.027059504274526,17.697270792094585,73.39926894765458,12.878499566944134,61.16229738696584,5.323494680994158,35/40,61.485980419196515,9.898350010529638,75/60,44.75981650524574,7.077148390388725
1-3,ch1-ch37,153,0.2742328649268712,-16.93283707348799,10.275768909554179,68.51369790510932,6.697987686247017,57.065322534564935,3.294667932672388,80/10,44.14443353017911,8.435320826744993,85/55,35.89444368035383,5.538632904904236
1-3,ch1-ch38,120,0.21508459994264412,-23.982018789239643,9.684948831254156,61.47282695290226,6.408347599737474,64.00323462622394,4.184022337079144,75/45,46.813443173505874,6.895282706602646,75/75,43.15999090401427,6.103744448835639
1-3,ch3-ch35,26,0.04660166332090622,-37.60087191174132,119.78730853132504,169.03762952656453,168.7989008070563,79.22287351038358,11.434836836798908,30/55,70.11302457834978,19.904454485514147,30/60,61.49533083901115,9.723265545843429
1-3,ch5-ch35,40,0.07169486664754804,-27.018322483378377,44.70088236032445,107.75708563371734,36.26449512699853,57.24804767255343,6.654950364627935,50/10,61.621215172271604,16.381220899432652,60/25,43.10643123632699,6.49853902100693
1-3,ch6-ch36,499,0.8943934614281618,46.63165198333911,4.895504037030754,74.54548563343135,2.659679016761157,75.35285373256389,2.407058617780166,30/80,59.61525030834712,5.224112158886853,25/85,66.95378401806448,5.741239614517589
